nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
Databases: Relational Databases and SQL,20502,Self-paced on your time,Stanford University,Introductory,Computer Science,English,50,16,edx,1025100
C Programming: Getting Started,104108,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,14,edx,5101292
Supply Chain Analytics,145049,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Business & Management,English,199,120,edx,28864751
Programming for the Web with JavaScript,91406,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,149,24,edx,13619494
Introduction to Digital Humanities,37501,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,14,edx,3712599
Upper-Intermediate English: Business and Industry,103704,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,50,12,edx,5185200
EmSAT English Preparation - Level 1,29101,Self-paced on your time,United Arab Emirates University,Introductory,Language,English,49,12,edx,1425949
Python for Data Science,266978,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,350,80,edx,93442300
Empathy and Emotional Intelligence at Work,45867,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,199,4,edx,9127533
Design Thinking and Creativity for Innovation,47549,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,5,80,edx,237745
China and Communism,69104,Self-paced on your time,Harvard University,Introductory,History,English,139,15,edx,9605456
Mandarin Chinese Level 1,56040,Self-paced on your time,MandarinX,Introductory,Language,English,149,24,edx,8349960
Introduction to Biology - The Secret of Life,147512,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Biology & Life Sciences,English,150,80,edx,22126800
Photoshop: una herramienta para presentaciones innovadoras,22969,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Art & Culture,Español,19,40,edx,436411
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,99,18,edx,5043951
生活英语听说 | Conversational English Skills,301585,Self-paced on your time,Tsinghua University,Introductory,Communication,English,49,20,edx,14777665
Shakespeare’s Othello: The Moor,31868,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,20,edx,1561532
Basic Spanish 2: One Step Further,67687,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,50,16,edx,3384350
Financial Market Analysis,37452,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,56,edx,936300
CS50's Computer Science for Business Professionals,73208,Self-paced on your time,Harvard University,Introductory,Computer Science,English,90,12,edx,6588720
Gobierno Digital,18883,Self-paced on your time,Inter-American Development Bank,Introductory,Social Sciences,Español,25,8,edx,472075
Upper-Intermediate English: Business and Globalization,58532,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,50,12,edx,2926600
The Opioid Crisis in America,54805,Self-paced on your time,Harvard University,Introductory,Medicine,English,99,10,edx,5425695
Gestión de Proyectos de Desarrollo,306286,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Español,49,30,edx,15008014
Statistical Learning,27968,Self-paced on your time,Stanford University,Introductory,Data Analysis & Statistics,English,50,27,edx,1398400
Introduction to Social Psychology,79365,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,99,7,edx,7857135
Artificial Intelligence (AI),265104,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,249,96,edx,66010896
American Government: Constitutional Foundations,35504,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,49,8,edx,1739696
Introducción a la inversión bursátil,64261,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Economics & Finance,Español,50,6,edx,3213050
Japanese Books: From Manuscript to Print,17581,Self-paced on your time,Harvard University,Introductory,Art & Culture,English,100,9,edx,1758100
Foundations of Modern Finance  I,24108,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Economics & Finance,English,450,120,edx,10848600
Operations Management,126093,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,150,14,edx,18913950
Marketing Management,80010,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,150,18,edx,12001500
Marketing enfocado en la estrategia de servicios,24618,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,119,30,edx,2929542
Introduction to Marketing,169126,Self-paced on your time,University of British Columbia,Introductory,Business & Management,English,150,18,edx,25368900
Programming Basics,215059,Self-paced on your time,IITBombay,Introductory,Computer Science,English,149,54,edx,32043791
Probability and Statistics in Data Science using Python,106286,Self-paced on your time,"The University of California, San Diego",Advanced,Data Analysis & Statistics,English,350,100,edx,37200100
HTML5 Coding Essentials and Best Practices,241287,Self-paced on your time,The World Wide Web Consortium (W3C),Intermediate,Computer Science,English,199,36,edx,48016113
First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,37426,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,9,edx,1833874
Cell Biology: Mitochondria,64142,Self-paced on your time,Harvard University,Introductory,Biology & Life Sciences,English,99,8,edx,6350058
"Algorithms: Design and Analysis, Part 1",20163,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,149,12,edx,3004287
