nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
SQL aplicado en la  ciencia de datos,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,39,8,edx,0
Sign Language Science: Factors Contributing to Nature Structure,0,Self-paced on your time,Georgetown University,Introductory,Language,English,99,12,edx,0
Gender and Intersectionality,0,Self-paced on your time,The University of Iceland,Introductory,Humanities,English,50,12,edx,0
Digital Transformation in Business,10118,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Business & Management,English,214,56,edx,2165252
Designing and Creating Trousers,7544,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Design,English,99,15,edx,746856
Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,Español,59,28,edx,692719
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced on your time,SDG Academy,Intermediate,Social Sciences,English,49,22,edx,559874
Industry 4.0: How to Revolutionize your Business,28404,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,50,36,edx,1420200
Desafíos y oportunidades en la economía digital,47792,Self-paced on your time,Inter-American Development Bank,Introductory,Economics & Finance,Español,25,20,edx,1194800
Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Español,149,20,edx,2511097
"MathTrackX: Polynomials, Functions and Graphs",0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,12,edx,0
Sustainable Food Security: Crop Production,35367,Self-paced on your time,Wageningen University & Research,Intermediate,Biology & Life Sciences,English,49,36,edx,1732983
Network and Security Foundations,7301,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,299,72,edx,2182999
Cannabis Cultivation and Processing,7419,Self-paced on your time,Doane University,Introductory,Environmental Studies,English,179,15,edx,1328001
"Data, Models and Decisions in Business Analytics",36289,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,249,96,edx,9035961
Data Structures Fundamentals,42381,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,99,48,edx,4195719
Shaping Work of the Future,22246,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,49,32,edx,1090054
Introducción a la robótica e industria 4.0,7056,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,49,12,edx,345744
Fighting for Equality: 1950–2018,9274,Self-paced on your time,Columbia University,Intermediate,History,English,50,20,edx,463700
"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,299,48,edx,4374071
Negotiation Strategies and Styles,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,149,20,edx,0
Crear música con tecnología,10961,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,49,18,edx,537089
Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced on your time,Delft University of Technology,Intermediate,Computer Science,Español,49,32,edx,900032
Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Communication,Español,49,8,edx,343833
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced on your time,University of Adelaide,Intermediate,Business & Management,English,199,8,edx,2796348
Unlocking Information Security: Part II,6426,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,149,24,edx,957474
Human Rights Defenders,27338,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,49,16,edx,1339562
Product Design: The Delft Design Approach,87539,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,79,42,edx,6915581
Introduction to Psychology | 心理学概论,30731,Self-paced on your time,Tsinghua University,Introductory,Philosophy & Ethics,中文,139,39,edx,4271609
Circuits and Electronics 3: Applications,9347,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Electronics,English,169,56,edx,1579643
Vaccines: from smallpox to technologies of the future,6166,Self-paced on your time,KU Leuven University,Intermediate,Medicine,English,49,18,edx,302134
Le management,6273,Self-paced on your time,HEC Montréal,Introductory,Business & Management,Français,149,10,edx,934677
Circular Economy for a Sustainable Built Environment,8032,Self-paced on your time,Delft University of Technology,Intermediate,Architecture,English,50,18,edx,401600
Agile Innovation and Problem Solving Skills,12667,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,199,8,edx,2520733
International Investment Law,23335,Instructor-led on a course schedule,Université catholique de Louvain,Advanced,Law,English,150,60,edx,3500250
Animation and CGI Motion,36827,Instructor-led on a course schedule,Columbia University,Advanced,Computer Science,English,249,96,edx,9169923
Terrorism and Counterterrorism,28580,Self-paced on your time,Georgetown University,Introductory,Humanities,English,49,56,edx,1400420
Découvrir le marketing,30030,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Business & Management,Français,150,30,edx,4504500
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led on a course schedule,Delft University of Technology,Advanced,Engineering,English,250,120,edx,9510250
Introduction to Actuarial Science,52667,Self-paced on your time,Australian National University,Introductory,Data Analysis & Statistics,English,49,16,edx,2580683
PredictionX: Lost Without Longitude,9114,Self-paced on your time,Harvard University,Introductory,History,English,49,2,edx,446586
Information Technology Foundations,6388,Self-paced on your time,Western Governors University,Introductory,Computer Science,English,399,54,edx,2548812
Introducción a la Inteligencia Artificial de Watson,0,Self-paced on your time,IBM,Introductory,Computer Science,Español,49,32,edx,0
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,125,20,edx,2001625
Instructional Design and Technology: Learning Theories,21296,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Intermediate,Education & Teacher Training,English,299,64,edx,6367504
"Algorithms: Design and Analysis, Part 2",0,Self-paced on your time,Stanford University,Intermediate,Computer Science,English,149,12,edx,0
The Math of Data Science: Linear Algebra,6746,Self-paced on your time,Rice University,Intermediate,Math,English,159,48,edx,1072614
Introducción al quirófano,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Medicine,Español,49,18,edx,0
The Hardware of a Quantum Computer,20052,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,79,36,edx,1584108
Grabar y mezclar música,10856,Self-paced on your time,Berklee College of Music,Introductory,Music,Español,49,12,edx,531944
Leadership focused on Human Flourishing,0,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Business & Management,English,149,20,edx,0
Automata Theory,0,Self-paced on your time,Stanford University,Advanced,Computer Science,English,129,35,edx,0
¡Conceptos básicos de Python para Data Science!,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,49,10,edx,0
Herramientas para el Análisis de Big Data,8118,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,49,12,edx,397782
Foundations of Central Bank Law,6169,Self-paced on your time,The International Monetary Fund,Intermediate,Law,English,25,12,edx,154225
C Programming: Modular Programming and Memory Management,18690,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,14,edx,915810
Enseñanza temprana de matemáticas y ciencias,8250,Self-paced on your time,Inter-American Development Bank,Introductory,Education & Teacher Training,Español,25,10,edx,206250
Entrepreneurship 102: What can you do for your customer?,11275,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,49,20,edx,552475
Italian Language and Culture: Advanced (2019-2020),24667,Self-paced on your time,Wellesley College,Advanced,Language,Italiano,49,36,edx,1208683
Introduction to Marketing,0,Self-paced on your time,The University of Edinburgh,Introductory,Business & Management,English,149,12,edx,0
Origins of the Human Mind,11812,Self-paced on your time,Kyoto University,Introductory,Science,English,49,10,edx,578788
Introduction to Geometry,61824,Self-paced on your time,SchoolYourself,Introductory,Math,English,50,56,edx,3091200
The Future of Work: Preparing for Disruption,43125,Self-paced on your time,World Bank Group,Introductory,Economics & Finance,English,5,15,edx,215625
Clinical Reasoning Process,5367,Self-paced on your time,Université de Montréal,Introductory,Medicine,English,149,12,edx,799683
Datos para la efectividad de las políticas públicas,80425,Self-paced on your time,Inter-American Development Bank,Introductory,Data Analysis & Statistics,Español,25,40,edx,2010625
Media Law,7253,Instructor-led on a course schedule,New York University,Introductory,Art & Culture,English,249,112,edx,1805997
Líderes para la Gestión en Seguridad Ciudadana y Justicia,12826,Self-paced on your time,Inter-American Development Bank,Intermediate,Social Sciences,Español,25,40,edx,320650
"Diseña, fabrica y programa tu propio robot",25024,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Engineering,Español,75,48,edx,1876800
Pivoting to Online Teaching: Research and Practitioner Perspectives,5289,Self-paced on your time,University of Texas at Arlington,Introductory,Education & Teacher Training,English,139,18,edx,735171
Circular Economy: An Interdisciplinary Approach,10281,Self-paced on your time,Wageningen University & Research,Advanced,Business & Management,English,149,96,edx,1531869
Calculus 1B: Integration,44669,Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Math,English,100,90,edx,4466900
Algorithmic Design and Techniques,40620,Self-paced on your time,"The University of California, San Diego",Intermediate,Computer Science,English,99,48,edx,4021380
Drinking Water Treatment,51918,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,42,edx,2595900
Fundamentos de información financiera y contable,7789,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,49,25,edx,381661
Les principes de la finance,44037,Self-paced on your time,Université catholique de Louvain,Intermediate,Business & Management,Français,150,52,edx,6605550
Music Technology Foundations,34550,Self-paced on your time,University of Adelaide,Introductory,Computer Science,English,169,12,edx,5838950
The Entrepreneurial Mindset,31077,Self-paced on your time,Babson College,Introductory,Business & Management,English,149,24,edx,4630473
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",26453,Self-paced on your time,The University of Michigan,Introductory,Biology & Life Sciences,English,49,10,edx,1296197
Risk Management and Credit Principles,9028,Self-paced on your time,NYIF,Advanced,Economics & Finance,English,199,12,edx,1796572
Steps in Japanese for Beginners1 Part3,6169,Self-paced on your time,Waseda University,Introductory,Language,English,99,15,edx,610731
Structural Materials: Selection and Economics,9752,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Engineering,English,50,6,edx,487600
Algorithm Design and Analysis,39137,Self-paced on your time,University of Pennsylvania,Intermediate,Computer Science,English,149,24,edx,5831413
Estructuras de Datos con Python,0,Self-paced on your time,The University of Michigan,Introductory,Computer Science,Español,49,14,edx,0
Mandarin Chinese for Business,12384,Self-paced on your time,MandarinX,Intermediate,Language,English,149,24,edx,1845216
Bases Matemáticas: Números y terminología,26060,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Math,Español,50,12,edx,1303000
Arab-Islamic History: From Tribes to Empires,17321,Self-paced on your time,IsraelX-Tel Aviv University,Introductory,Humanities,English,149,24,edx,2580829
Human-Computer Interaction I: Fundamentals & Design Principles,9010,Self-paced on your time,The Georgia Institute of Technology,Introductory,Computer Science,English,99,30,edx,891990
Modeling and simulation of multibody systems,0,Instructor-led on a course schedule,Université catholique de Louvain,Intermediate,Engineering,English,50,140,edx,0
The Science of Parenting,37538,Self-paced on your time,"The University of California, San Diego",Introductory,Social Sciences,English,49,15,edx,1839362
Inclusive Teaching: Supporting All Students in the College Classroom,9899,Self-paced on your time,Columbia University,Introductory,Education & Teacher Training,English,49,12,edx,485051
Analytics for Decision Making,31031,Self-paced on your time,Babson College,Introductory,Business & Management,English,249,16,edx,7726719
Principios de Análisis e Instrumentos Financieros,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,49,25,edx,0
Energy Principles and Renewable Energy,19520,Instructor-led on a course schedule,The University of Queensland,Advanced,Energy & Earth Sciences,English,375,140,edx,7320000
DNA: Biology’s Genetic Code,35162,Self-paced on your time,Rice University,Intermediate,Biology & Life Sciences,English,169,24,edx,5942378
Music For Wellness,19728,Self-paced on your time,Berklee College of Music,Introductory,Humanities,English,49,12,edx,966672
Mining Massive Datasets,5311,Self-paced on your time,Stanford University,Advanced,Computer Science,English,149,35,edx,791339
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,25041,Self-paced on your time,Tokyo Institute of Technology,Introductory,Engineering,English,50,8,edx,1252050
A travel by Spanish America: Spanish for beginners,0,Self-paced on your time,Universidad del Rosario,Introductory,Language,Español,49,16,edx,0
Introducción a la Inteligencia Artificial,11184,Self-paced on your time,Universidades Anáhuac,Introductory,Computer Science,Español,49,16,edx,548016
Introducción a la Inteligencia Artificial: Principales Algoritmos,0,Self-paced on your time,Universidad Galileo,Introductory,Computer Science,Español,49,16,edx,0
Digital Security and Human Rights,11443,Self-paced on your time,Amnesty International,Introductory,Social Sciences,English,49,3,edx,560707
Critical thinking: reasoned decision making,6923,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,English,149,20,edx,1031527
Introduction to the Internet of Things,7581,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,English,50,30,edx,379050
Trading - Fundamentals of Technical Analysis,0,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,199,12,edx,0
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,20261,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Medicine,Español,49,18,edx,992789
Design Thinking: Empathizing to Understand the Problem,13340,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,299,48,edx,3988660
Storytelling in the Workplace,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,12,edx,0
Marketing Analytics: Price and Promotion Analytics,41021,Self-paced on your time,"University of California, Berkeley",Intermediate,Computer Science,English,249,20,edx,10214229
Implementation of Data Structures,27761,Self-paced on your time,IITBombay,Intermediate,Computer Science,English,149,36,edx,4136389
Activism and Citizen Journalism through Media,7460,Self-paced on your time,Wits University,Introductory,Communication,English,49,8,edx,365540
Electric and Conventional Vehicles,22089,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,249,60,edx,5500161
Big Data Fundamentals,40106,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,199,80,edx,7981094
Sustainable Food Security: The value of systems thinking,26600,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,49,48,edx,1303400
Knowledge Management and Big Data in Business,69064,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Business & Management,English,50,48,edx,3453200
Uso efectivo del tiempo,6409,Self-paced on your time,Pontificia Universidad Javeriana,Introductory,Economics & Finance,Español,49,36,edx,314041
C Programming: Pointers and Memory Management,19171,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,14,edx,939379
Astrophysics: The Violent Universe,65711,Self-paced on your time,Australian National University,Intermediate,Physics,English,50,20,edx,3285550
Landscape Ecology,8644,Self-paced on your time,ETH Zurich,Intermediate,Environmental Studies,English,50,28,edx,432200
IoT Programming and Big Data,21591,Self-paced on your time,Curtin University,Introductory,Computer Science,English,199,20,edx,4296609
AWS: Getting Started with Cloud Security,8192,Self-paced on your time,Amazon Web Services,Introductory,Computer Science,English,49,8,edx,401408
Introducción a la gravedad cuántica de lazos,7360,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Science,Español,50,25,edx,368000
Introduction to the Music Business,46607,Self-paced on your time,Berklee College of Music,Introductory,Business & Management,English,49,12,edx,2283743
Introducción a la programación en C: Tipos de datos y estructuras,13480,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Computer Science,Español,49,8,edx,660520
Visualización de Datos y Storytelling,5980,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Data Analysis & Statistics,Español,49,12,edx,293020
Negociación exitosa: Estrategias y habilidades esenciales (en español),0,Self-paced on your time,The University of Michigan,Introductory,Business & Management,Español,49,14,edx,0
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",10488,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,49,21,edx,513912
Macroeconomics - The Basics,0,Self-paced on your time,Doane University,Introductory,Economics & Finance,English,79,80,edx,0
Fundamentals of Financial Mathematics and Capital Budgeting,5410,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,99,4,edx,535590
Gestión participativa: motivación y liderazgo organizacional,23441,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Business & Management,Español,79,24,edx,1851839
Herramientas de ciencia de datos: uso práctico,0,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,Español,39,21,edx,0
Bienestar para el desarrollo personal y profesional,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Health & Safety,Español,29,25,edx,0
Energía eléctrica: conceptos y principios básicos,9762,Self-paced on your time,Tecnológico de Monterrey,Intermediate,Engineering,Español,49,28,edx,478338
Market Segmentation Analysis,17055,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,99,30,edx,1688445
Pensamento crítico: tomada de decisões fundamentadas,0,Self-paced on your time,Tecnológico de Monterrey,Introductory,Business & Management,Português,149,20,edx,0
AP® English Literature & Composition – Part 2: Poems,5719,Self-paced on your time,"University of California, Berkeley",Introductory,Humanities,English,49,28,edx,280231
"Electrical, Optical & Magnetic Materials and Devices",16905,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Engineering,English,150,128,edx,2535750
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),0,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,99,8,edx,0
How to Design a Successful Business Model,33656,Self-paced on your time,Delft University of Technology,Introductory,Business & Management,English,99,16,edx,3331944
Ecodesign for Cities and Suburbs,28472,Self-paced on your time,University of British Columbia,Introductory,Environmental Studies,English,99,24,edx,2818728
Agile Software Development,37158,Self-paced on your time,ETH Zurich,Introductory,Computer Science,English,50,12,edx,1857900
Diseño de sistemas de información gerencial para intranet con Microsoft Access,9144,Self-paced on your time,Universidad del Rosario,Intermediate,Computer Science,Español,49,24,edx,448056
Essentials of Program Strategy and Evaluation,0,Self-paced on your time,Stanford University,Introductory,Philanthropy,English,50,20,edx,0
Gestão de Projetos de Desenvolvimento,28337,Self-paced on your time,Inter-American Development Bank,Introductory,Business & Management,Português,49,30,edx,1388513
Innovation: From Plan to Product,12918,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,249,80,edx,3216582
Introduction to Database Queries,0,Self-paced on your time,New York University,Introductory,Computer Science,English,166,30,edx,0
Climate Change: Carbon Capture and Storage,10551,Self-paced on your time,The University of Edinburgh,Introductory,Engineering,English,49,10,edx,516999
Reservoir Geomechanics,5280,Self-paced on your time,Stanford University,Introductory,Energy & Earth Sciences,English,129,30,edx,681120
Fundamentos de administración estratégica,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Business & Management,Español,49,25,edx,0
IoT System Architecture: Design and Evaluation,5914,Self-paced on your time,Waseda University,Introductory,Computer Science,English,99,9,edx,585486
Noongar Language and Culture,10858,Self-paced on your time,Curtin University,Introductory,Language,English,139,12,edx,1509262
Sorting Truth From Fiction: Civic Online Reasoning,0,Instructor-led on a course schedule,Massachusetts Institute of Technology,Introductory,Education & Teacher Training,English,49,8,edx,0
Sustainable Food Security: Food Access,18943,Self-paced on your time,Wageningen University & Research,Introductory,Social Sciences,English,49,36,edx,928207
Bases Matemáticas: Integrales,23703,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,50,20,edx,1185150
Epidemics II,8565,Self-paced on your time,University of Hong Kong,Introductory,Medicine,English,139,6,edx,1190535
Derechos humanos: Los derechos de las personas refugiadas,28398,Self-paced on your time,Amnesty International,Introductory,Humanities,Español,49,9,edx,1391502
Sign Language Science: Factors Contributing to Natural Learning,0,Self-paced on your time,Georgetown University,Introductory,Language,English,99,12,edx,0
Big Data Analytics,43009,Self-paced on your time,University of Adelaide,Intermediate,Computer Science,English,199,80,edx,8558791
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",6594,Self-paced on your time,Imperial College London,Intermediate,Math,English,49,14,edx,323106
ODS en la Agenda 2030 de las Naciones Unidas: Retos de los Objetivos de Desarrollo Sostenible,16028,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Social Sciences,Español,25,18,edx,400700
Achieving Product-Market Fit,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,199,8,edx,0
Culture and Law: The East Asian Perspective,0,Self-paced on your time,Waseda University,Introductory,Social Sciences,English,49,12,edx,0
Fundamentals of Market Structure,32049,Self-paced on your time,NYIF,Introductory,Economics & Finance,English,25,1,edx,801225
Protecting Children in Humanitarian Settings,7246,Self-paced on your time,Columbia University,Intermediate,Social Sciences,English,50,36,edx,362300
How to Achieve the Sustainable Development Goals,12719,Self-paced on your time,SDG Academy,Intermediate,Environmental Studies,English,49,28,edx,623231
Aprendizaje y Enseñanza en la Era Digital,16954,Self-paced on your time,Universidad Galileo,Intermediate,Education & Teacher Training,Español,49,16,edx,830746
From Atoms to Stars: How Physics Explains Our World,15914,Self-paced on your time,National Research Nuclear University,Intermediate,Physics,English,49,8,edx,779786
The Threat of Nuclear Terrorism,0,Self-paced on your time,Stanford University,Introductory,History,English,50,5,edx,0
Introducción a Matemáticas para Finanzas y Negocios,0,Self-paced on your time,Tecnológico de Monterrey,Advanced,Economics & Finance,Español,49,25,edx,0
Ingeniería de aeropuertos: diseño del lado aire según OACI (ICAO),0,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Engineering,Español,75,28,edx,0
Liderazgo inclusivo,0,Self-paced on your time,Universidad Carlos III de Madrid,Intermediate,Business & Management,Español,29,15,edx,0
مساق اللّغة العربيّة,0,Self-paced on your time,United Arab Emirates University,Introductory,Language,اللغة العربية,49,24,edx,0
"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330,Self-paced on your time,Delft University of Technology,Intermediate,Physics,English,79,36,edx,658070
Contemporary Issues in World Politics,11426,Self-paced on your time,Università degli Studi di Napoli Federico II,Introductory,Social Sciences,English,59,28,edx,674134
More Fun with Prime Numbers,10604,Self-paced on your time,Kyoto University,Intermediate,Math,English,49,5,edx,519596
Enterprise Selling,5020,Self-paced on your time,Queen’s University,Introductory,Business & Management,English,149,24,edx,747980
Climate Change: Financial Risks and Opportunities,9977,Self-paced on your time,Imperial College Business School-Imperial College London,Intermediate,Economics & Finance,English,79,8,edx,788183
Caer o No caer. El Secreto de las Estructuras.,20939,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Engineering,Español,29,16,edx,607231
Mandarin Chinese Level 2,8784,Self-paced on your time,MandarinX,Introductory,Language,English,149,24,edx,1308816
Design Thinking: Prototyping and User Testing,10769,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,299,48,edx,3219931
Bases Matemáticas: Derivadas,24301,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Math,Español,50,15,edx,1215050
Buscar en Internet,27320,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,49,21,edx,1338680
Big Data and Education,14909,Self-paced on your time,University of Pennsylvania,Advanced,Data Analysis & Statistics,English,169,48,edx,2519621
Model-Based Automotive Systems Engineering,13857,Instructor-led on a course schedule,Chalmers University of Technology,Advanced,Engineering,English,249,70,edx,3450393
Introduction to Hyperledger Blockchain Technologies,138884,Self-paced on your time,The Linux Foundation,Introductory,Business & Management,English,199,42,edx,27637916
MathTrackX: Integral Calculus,0,Self-paced on your time,University of Adelaide,Introductory,Math,English,79,12,edx,0
Solar Energy Engineering: Comprehensive Exams,0,Self-paced on your time,Delft University of Technology,Advanced,Engineering,English,250,32,edx,0
Mercados de capital y participantes claves,7210,Self-paced on your time,NYIF,Introductory,Economics & Finance,Español,49,2,edx,353290
Introducción al desarrollo de videojuegos con Unity,27474,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Computer Science,Español,50,18,edx,1373700
Incorporating Renewable Energy in Electricity Grids,10430,Self-paced on your time,Imperial College London,Intermediate,Energy & Earth Sciences,English,49,12,edx,511070
Herramientas de la Inteligencia de Negocios,24130,Self-paced on your time,Universidad Galileo,Introductory,Data Analysis & Statistics,Español,49,25,edx,1182370
Overview & Management of Parkinson’s Disease,0,Self-paced on your time,Salisbury University-University System of Maryland,Intermediate,Medicine,English,49,10,edx,0
Conociendo los costos,0,Self-paced on your time,Universidades Anáhuac,Intermediate,Economics & Finance,Español,49,25,edx,0
Sprint Planning for Faster Agile Team Delivery,10654,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,199,8,edx,2120146
Introduction to Water and Climate,36320,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,60,edx,1816000
The Medieval Icelandic Sagas,11176,Self-paced on your time,The University of Iceland,Intermediate,Humanities,English,50,12,edx,558800
Visual Presentation,0,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,12,edx,0
Community Engagement: Collaborating for Change,11818,Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,49,12,edx,579082
Introducción al Internet de las Cosas (IoT),6322,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Electronics,Español,50,30,edx,316100
"Proteins: Alignment, Analysis and Structure",23560,Instructor-led on a course schedule,University System of Maryland-University of Maryland Global Campus,Advanced,Biology & Life Sciences,English,249,64,edx,5866440
AI Applications with Watson,9173,Self-paced on your time,IBM,Intermediate,Computer Science,English,99,6,edx,908127
Data Analytics and Visualization in Health Care,7304,Self-paced on your time,Rochester Institute of Technology,Advanced,Data Analysis & Statistics,English,249,64,edx,1818696
Question Everything: Scientific Thinking in Real Life,34279,Self-paced on your time,The University of Queensland,Introductory,Math,English,59,16,edx,2022461
Introduction to Lifestyle Medicine,9002,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,79,40,edx,711158
"Social Work Practice with Individuals, Families, and Small Groups",16134,Self-paced on your time,The University of Michigan,Advanced,Social Sciences,English,199,64,edx,3210666
Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,6938,Self-paced on your time,Tsinghua University,Introductory,Medicine,中文,49,10,edx,339962
Indian & Tibetan River of Buddhism,6738,Self-paced on your time,Columbia University,Intermediate,Humanities,English,49,24,edx,330162
Compostaje Orgánico en Casa,0,Instructor-led on a course schedule,Universidad Nacional de Córdoba,Introductory,Environmental Studies,Español,29,20,edx,0
Financial Analysis for Decision Making,39156,Self-paced on your time,Babson College,Introductory,Business & Management,English,199,16,edx,7792044
Lifestyle Medicine Treatments of Chronic Disease – Part 1,5668,Self-paced on your time,Doane University,Intermediate,Medicine,English,179,20,edx,1014572
Building Containerized Applications on AWS,6128,Self-paced on your time,Amazon Web Services,Intermediate,Computer Science,English,99,10,edx,606672
Effective Communication for Program and Project Stakeholders and Teams,0,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Introductory,Business & Management,English,199,15,edx,0
Biobased Products for a Sustainable (Bio)economy,6951,Self-paced on your time,DelftXRWTHx-Delft University of Technology-RWTH Aachen University,Introductory,Biology & Life Sciences,English,50,50,edx,347550
Social Work Practice: Advocating Social Justice and Change,19603,Self-paced on your time,The University of Michigan,Introductory,Social Sciences,English,49,10,edx,960547
Anthropology of Current World Issues,44821,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,99,18,edx,4437279
Buyer Behaviour and Analysis,19717,Instructor-led on a course schedule,Curtin University,Advanced,Communication,English,199,96,edx,3923683
Idea Development: Create and Implement Innovative Ideas,11501,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,249,80,edx,2863749
Analysis of Transport Phenomena I: Mathematical Methods,9169,Instructor-led on a course schedule,Massachusetts Institute of Technology,Advanced,Engineering,English,149,170,edx,1366181
Leading the Organization,14998,Self-paced on your time,The University of Queensland,Intermediate,Business & Management,English,249,80,edx,3734502
"Financial Programming and Policies, Part 2: Program Design",19330,Self-paced on your time,The International Monetary Fund,Intermediate,Economics & Finance,English,25,42,edx,483250
